"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"84",66,"Rubus idaeus","","Rubus",2,"Rubus idaeus"," L.","Rubus",2,189839,1,FALSE,0.8,0,NA,NA,NA,NA,"Rosaceae",NA,"Rubus idaeus",NA
"87",67,"Saccharum officinarum","","Saccharum",2,"Saccharum officinarum","L.","Saccharum",2,116216,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Saccharum officinarum",NA
"88",68,"Salvia rosmarinus","","Salvia",2,"Salvia rosmarinus","Schleid.","Salvia",2,322315,1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Salvia rosmarinus",NA
"89",69,"Secale cereale","","Secale",2,"Secale cereale"," L.","Secale",2,112630,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Secale cereale",NA
"90",70,"Sesamum indicum","","Sesamum",2,"Sesamum indicum"," L.","Sesamum",2,334447,1,FALSE,0.8,0,NA,NA,NA,NA,"Pedaliaceae",NA,"Sesamum indicum",NA
"91",71,"Sinapis alba","","Sinapis",2,"Sinapis alba","L.","Sinapis",2,244734,1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Sinapis alba",NA
"92",72,"Solanum lycopersicum","","Solanum",2,"Solanum lycopersicum","L.","Solanum",2,345973,1,FALSE,0.8,0,NA,NA,NA,NA,"Solanaceae",NA,"Solanum lycopersicum",NA
"94",73,"Solanum melongena","","Solanum",2,"Solanum melongena","L.","Solanum",2,346026,1,FALSE,0.8,0,NA,NA,NA,NA,"Solanaceae",NA,"Solanum melongena",NA
"96",74,"Solanum tuberosum","","Solanum",2,"Solanum tuberosum"," L.","Solanum",2,346557,1,FALSE,0.8,0,NA,NA,NA,NA,"Solanaceae",NA,"Solanum tuberosum",NA
"98",75,"Spinacia oleracea","","Spinacia",2,"Spinacia oleracea","L.","Spinacia",2,258566,1,FALSE,0.8,0,NA,NA,NA,NA,"Amaranthaceae",NA,"Spinacia oleracea",NA
"99",76,"Theobroma cacao","","Theobroma",2,"Theobroma cacao"," L.","Theobroma",2,235061,1,FALSE,0.8,0,NA,NA,NA,NA,"Malvaceae",NA,"Theobroma cacao",NA
"100",77,"Thymus vulgaris","","Thymus",2,"Thymus vulgaris"," L.","Thymus",2,325900,1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Thymus vulgaris",NA
"101",78,"Triticum aestivum","","Triticum",2,"Triticum aestivum"," L.","Triticum",2,112666,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Triticum aestivum",NA
"102",79,"Triticum spelta","","Triticum",2,"Triticum spelta","L.","Triticum",2,112690,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Triticum spelta",NA
"103",80,"Vanilla planifolia","","Vanilla",2,"Vanilla planifolia","Jacks.","Vanilla",2,38666,1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Vanilla planifolia",NA
"104",81,"Vicia lens","","Vicia",2,"Vicia lens","(L.) Coss. &  Germ. (L.) Coss. &  Germ.","Vicia",2,186640,1,FALSE,0.8,0,NA,NA,NA,NA,"Fabaceae",NA,"Vicia lens",NA
"106",82,"Vitis vinifera","","Vitis",2,"Vitis vinifera","L.","Vitis",2,134710,1,FALSE,0.8,0,NA,NA,NA,NA,"Vitaceae",NA,"Vitis vinifera",NA
"107",83,"Zea mays","","Zea",2,"Zea mays"," L.","Zea",2,115675,1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Zea mays",NA
"108",84,"Zingiber officinale","","Zingiber",2,"Zingiber officinale","Roscoe","Zingiber",2,89545,1,FALSE,0.8,0,NA,NA,NA,NA,"Zingiberaceae",NA,"Zingiber officinale",NA
